answer,question
Kansızlık,"Vücuttaki alyuvar ve hemoglobin eksikliği, anemi"
Ayşe kulin,Sevdalinka kitabının yazarı
Deniz seki,2014 çıkışlı İyisin Tabi şarkısının yorumcusu
Trip atmak,Genç dilinde bozuk çalmak
Pireneler,Fransa ile İspanya sınırını oluşturan sıradağlar
Cüretkar,"Saygısız davranan, haddini aşan"
Pazarola,"""İyi satışlar"" anlamına gelen bir deyim"
Sağlıkçı,Sıhhat ve afiyet emekçisi
Kara para,İllegal gelir
Tüketici,"Malı veya hizmeti alıp kullanan, alışverişçi"
Seremoni,Tören
Takriben,Yaklaşık olarak
Yaşamsal,"Hayatın devamı için gerekli, hayati"
Bağlamak,"Eşeği sağlam kazığa __, işi garantiye almak"
Maksatlı,Kısaltma kelimesinin anagramı
Nöroloji,Beyin ve sinir sistemiyle ilgili tıp dalı
Pedagog,Çocuk eğtimi konusunda uzmanlaşmış kişi
Bulmaca,Düşündürerek çözdürmeyi amaçlayan oyun türü
Dominik,Başkenti Santo Domingo olan ülke
Akilane,"Akıllıca, sağduyulu anlamına gelen eskimiş sözcük"
Stadyum,Spor müsabakalarının yapıldığı tesis
Kayıntı,Aç yatmamak için uyku öncesi yapılan atıştırma
Ovalama,Soğuk havada elleri doğal ısıtma yöntemi
Politik,"Siyasete dair, siyasetle ilgili"
Hatasız,"Kusur barındırmayan, ikinci el ilanlarında yazar"
Tefrika,Gazetelerde çıkan ve devamlılığı olan yazı dizisi
Utangaç,Bir toplulukta rahat hareket edemeyen kişi
Ikileme,Aynı veya benzer kelimelerin cümlede yinelenmesi
Aşırma,"Bir şeyi, hiç kimseye çaktırmadan alma; çalma"
Muğlak,"Ne idiği belirsiz, anlaşılmaz"
Ebabil,Uçarken uyuyan bir kuş
Şecere,Kişilerin soyunu gösteren çizelgeye verilen ad
Ufacık,"Minicik, küçücük"
Manken,Tanıtım amaçlı giysi giyen ve sunan kişi
Kaside,"Mevlana, Fuzuli ve Nef'i bu türde şiir yazmıştır"
Yıldız,Mabeyn Köşkü de denilen İstanbul sarayı
On dört,Sevgililer Günü'nün Şubat ayında kutlandığı gün
Islama,Adapazarı yöresine özgü bir köfte türü
Ametal,Isı ve elektrik iletmeyen mat yüzeyli madde
Boynuz,"Boğaların başında bulunur, sert ve sivridir"
Havacı,Denizci ve karacı ile birlikte TSK'yı oluşturur
Rönesans,15. yüzyılda Hümanizm'in etkisiyle başlayan dönem
Jartiyer,"Çorapları tutmaya yarayan, bele takılan askı"
Evrensel,"Tüm dünyayı ilgilendiren, dünya çapında"
Dubaracı,"Yalan dolanla karşısındakini kandıran, hileci"
Atmosfer,Gezegenin etrafındaki gaz tabaka
Şarapnel,Bazı silahların etrafa saçtığı metal parça
Lınkedın,İnternet üzerinden iş ağı yaratan sosyal platform
Müzakere,Davada iki taraf arasında yapılan görüşme
Mazoşist,"Eziyet edilmeyi seven, acı çekmek isteyen kişi"
Lancelot,Kral Athur'un en yakın dostu olan Fransız şövalye
Kaymakam,İlçenin en yetkili yönetim görevlisi
Seınfeld,Cosmo Kramer karakterinin bulunduğu dizi
Gıygıycı,Kemanla dalga geçen bir kemancı tabiri
Kamp yeri,Bu trafik levhasının üzerinde bir çadır var
Bartu ben,Yalan Dünya'nın Orçun'u bu dizide başrolde
Bacaksız,Yaşından büyük işler yapan çocuk
Belirsiz,Hakkında kesin bilgi edinilmemiş anlamındaki sıfat
Destansı,"Dilden dile anlatılacak nitelikte, epik"
Şempanze,Tek yavru doğuran bir maymun türü
Seyretme,Televizyon karşısına geçenlerin yaptığı eylem
Acımasız,Merhameti olmayan kişi
Şenerşen,Eşkıya filminin aktörü
Dönerkapı,Otellerin geneline bundan geçerek girilir
Söz vermek,Bir işi yapacağını vadetmek
Gobi çölü,Uzak Doğu'da bulunan kumla kaplı dev alan
Mıcrosoft,Windows'un üreticisi olan teknoloji şirketi
Bollywood,Hindistan'ın film üretim merkezi
Küçük asya,Anadolu'nun yaygın olarak kullanılan diğer adı
Pahalılık,Fiyatların yüksek olması durumu
Cüret etme,Cesaret gerektiren bir şeyi yapmaya çalışma
Mikroskop,Mercek yardımıyla küçük nesneleri gösteren alet
Belgeleme,"Kanıtlama, kanıt sunma"
Merhem,Deriye sürülen koyu kıvamlı ilacın genel adı
Suzukı,İdarenin babadan oğula geçtiği Japon otomotiv devi
Anıtkabir,Atatürk'ün mezarının bulunduğu yer
Komplo,Birisine karşı gizlice hazırlanan hain plan
Mahsul,Elde edilen ürün
Kaba et,"Mecaz anlamda, kuyruk sokumunun bulunduğu bölge"
Baston,Yürüme güçlüğü çekenler bundan destek alır
Poğaça,Zeytinlisi zeytine hasret olan çörek
Kaplan,"Büyük, çizgili, vahşi kedi"
Süzgeç,Çay tanelerinin bardağa girmesini önleyen araç
Baba üç,Corleone ailesinin öyküsünü anlatan son film
Birkarış,Memnuniyetsiz suratın uzunluğunu belirtir
Müsamere,Öğrencilerin şiir ve oyun içeren gösterisi
Volkanik,Yanardağ püskürmesi sonucu oluşan kaya türü
Huzurevi,Yaşlı bakım merkezi
Çöpçatan,Evlilik arabulucusu
Istiklal,Bağımsızlık
Epilepsi,"Ağızda köpüklü nöbetlere neden olan hastalık, sara"
Müdahale,Karışma
Mihriban,Aile Arasında filminde Gülse Birsel'in karakteri
Kundakçı,Kasten yangın çıkarıp suç işleyen kişi
Kilogram,Ağırlığımızı söylerken kullandığımız birim
Pehlivan,Güreş yapan sporcu
Titreşim,Telefon sessizdeyken uyarı almak için açılır
Öd kesesi,Karaciğerden çıkan safranın toplandığı organ
Ali kırca,Siyaset Meydanı programının sunucusu
Meraklı,Perihan Abla dizisinde Melahat'ın lakabı
Kaderci,Yazgıcı
Fantezi,"Sonsuz, sınırsız düş"
Kayınço,Kocanın erkek kardeşine verilen ad
Dışalım,"Yurt dışından mal getirme, ithalat"
Müfreze,Oliver Stone'un dört Oscar'lı Vietnam filmi
Aborjin,Avustralya topraklarının yerlisi
Cam suyu,Taşıtlarda silecek deposuna konan özel sıvı
Fonetik,Bir dildeki sesleri inceleyen dil bilim alanı
Aferin,Bir takdir sözü
Şimşek,Bulutta elektrik boşalırken çıkan ışık
Portre,İnsanın dış görünüşünün resmedildiği sanat türü
Mayalı,Ayılma sözcüğünün anagramı
Market,Pazar veya piyasa; bakkaliye ürünleri satan yer
Kabine,Belirlenmiş bakanlar kurulu; hükümet
Haseki,Sultanın eşine verilen ad
Nesnel,"Objektif, kişiden kişiye değişmeyen"
Depocu,Ardiye sorumlusu
Başlık,Yataklardaki kafa çarpmayı engelleyen yükseklik
Tiroit,Gırtlağın ön ve alt bölümünde bulunan salgı bezi
Hünkar,"__ Beğendi, padişahlara layık et yemeği"
Suriçi,İstanbul'un ilk kurulduğu yer; tarihi yarımada
Sırtıkara,Uzunluğu 50 cm’den büyük lüfer türü
Itdirseği,Bir göz hastalığı olan arpacığın diğer adı
Mim sanatı,Pandomim oyununun diğer adı
Çam sakızı,"Atasözünde, çoban armağanı ile birlikte adı geçer"
Jım carrey,Maske filminin başrol oyuncusu
Yetimhane,Kimsesiz çocukların kaldığı yurt
Müstehcen,"Edep ve ahlaka uygun olmayan, açık saçık"
Demokrasi,Hak eşitliğine dayalı yönetim biçimi
Pedometre,Kaç adım attığını sayan alet
Içerlemek,Açığa vurmayacak bir şekilde kızmak
Seda sayan,Sabah Sabah __!
Çöp kovası,Evsel atık biriktirme kabı
Kuru soğuk,Ayaz
Carrefour,Kelime anlamı kavşak olan Fransız market zinciri
Amerikyum,Adını bir kıtadan alan radyoaktif element
Keseliler,Kanguru ve koalanın dahil olduğu memeli alt grubu
Puanlamak,"Skor belirlemek, derecelendirmek"
Arzuhalci,Mahkeme dilekçelerini ücret karşılığı yazan kişi
Şaşılık,Gözlerin farklı yerlere baktığı göz bozukluğu
Bal gibi,"Hiç kuşku yok ki, gayet anlamında benzetme"
Pamuklu,Doğal bitkilerden oluşan elyaf çeşidi
Şapkalı,Paşalık kelimesinin anagramı
Ayırtma,Rezervasyon
Görüşme,Bir konuyu çözüme kavuşturmak için bir araya gelme
Nıagara,"__ Şelalesi, Kanada ve ABD arasındaki ünlü şelale"
Bugidişle,Böyle devam ettiği takdirde
Resital,Bir sanatçı tarafından verilen tek çalgılı konser
Kıvranmak,Acıdan dolayı eğilip bükülmek
Italyanca,Pavarotti'nin ana dili
Farkatmak,Rakiplerine göre kat kat daha başarılı olmak
Çevirsesi,Telefonda bu duyulduktan sonra arama yapılır
Halletmek,"Bir işi yapmak, üstesinden gelmek"
Okuryazar,Zorunlu ilkokul eğitimi sayesinde artan oran
Sofistike,"Yapmacık, doğallığı kaybetmiş kimse"
Başbelası,Devamlı sorun çıkaran ve kurtulunamayan kişi
Hedefleme,Amaçlama
Uzak durma,"Birine ya da bir şeye karışmama, kaçınma"
Epilasyon,Vücuttaki istenmeyen kılları yolma işlemi
Hapsetmek,Bir kişiyi zorla alıkoyarak bir yere kapatmak
Stepdansı,Küçük bir yükseltiyle yapılan müzikli egzersiz
Sprinter,Atletizmde kısa mesafeleri koşan atlet
Martaval,"Yalan yanlış, gerçekleşmeyen, uydurma, palavra"
Paganizm,"Birden fazla tanrıya tapma, çok tanrıcılık"
Asabiyim,Adam Sandler bu filmde öfkesini kontrol edemiyor
Susuzluk,Vücudun sıvı kaybı sonucunda duyulan his
Eş deprem,Farklı yerleri aynı derecede etkileyen zelzele
Bozukluk,Cepte şıngırdayan madeni para
Horlamak,Uyurken gürültülü sesler çıkarmak
Istihdam,Bu azaldığında işsizlik sorunu ortaya çıkar
Sakkaroz,"Yaygın bulunan, glikoz ve fruktozdan oluşan şeker"
Kurdeşen,Deride çeşitli nedenlerle oluşan kaşıntılı döküntü
Dedektör,Altın ararken kullanılan yer bulucu makine
Tonyukuk,Orhun Yazıtları'nı diktiren Göktürk veziri
Çevirmen,Bir metinin diller arası transferini yapan
Hırdavat,Nalburda satılan malların genel adı
Yarına,Bugünün işini __ bırakma
Piksel,Dijital görüntünün en küçük birimi
Tasvir,"Yazılı veya sözlü betimleme, resmetme"
Fayans,Banyo ve mutfakta kullanılan seramik kaplama
Kangal,Köpeği ve koyunu ile tanınan Sivas ilçesi
Kamara,Gemi odası
Mahsur,Bir yerden çıkamayacak şekilde çaresiz kalan
Patron,Bir iş yerinin sahibi
Netice,"Bir işin sonunda varılan nokta, sonuç"
Alaylı,Okul eğitimi almadan kendini yetiştirmiş kimse
Malkoç,Osmalı'da akıncı ocağı komutanı
Defansif,"Sporda, savunmanın ön planda olduğu oyun düzeni"
Solüsyon,Lastik yapıştırmada kullanılan koyu madde
Doğrultu,İstikamet
Istemsiz,Bilinç dışı yapılan hareketlere denir
Kahvaltı,Günün ilk öğünü
Flamanca,Belçika'da konuşulan Felemenkçe lehçesi
Dolambaç,Gidilen istikametteki dönemeç ve kıvrım
Gelinlik,Kadınların evlenirken giydiği kıyafet
Sürmenaj,Çok çalışmadan kaynaklı bitkinlik
Tirbuşon,Şişelerdeki mantar tıpaları açmak için kullanılır
Açkalmak,Yiyecek bir şey bulamamak
Uçabilme,Kuşlarla ilgili akla gelen ilk özellik
Eınsteın,İzafiyet Teorisi'nin fikir babası
Tac mahal,Şah Cihan'ın inşa ettirdiği anıt mezar
Kurultay,Eskiden devlet işlerinin görüşüldüğü meclis
Realizm,Gerçekleri olduğu gibi aktarmayı savunan akım
Organze,"Tül benzeri, çok ince kumaş"
Eşkenar,Bu tür üçgenin iç açılarının her biri 60 derecedir
Biyolog,Canlılar konusunda inceleme yapan uzman
Fakülte,Üniversitelerde dekan tarafından yönetilen bölüm
Birader,"Kızma __, zarla oynanan kutu oyunu"
Yontmak,"Kendine __, fırsatı sadece kendi lehine kullanmak"
A takımı,Savaş Ay'ın sunduğu tartışma programı
Kafiye,Dize sonlarında aynı ya da benzer hece kullanımı
Pişman,Hatasını fark eden böyle olur
Meleme,Koyun gibi ses çıkarma
Laptop,Toshiba 1100 Plus ilk örneğidir (İng.)
Kırsal,"Kentleşmemiş, kentsel olmayan bölge"
Afrika,2010 FIFA Dünya Kupası bu kıtada oynandı
Ressam,Resim sanatçısı
Kokpit,Pilotun uçaktaki makamı
Balyaj,"Saçın aralıklarına ışıltı, renk katma işlemi"
Waffle,Belçika asıllı bir hamur tatlısı (İng.)
Boraks,Leke ve pas çıkarmada kullanılan bir kimyasal
Fiskos,Fısıldayarak yapılan dedikodu
Psikoz,Akıl hastalıklarının genel adı
Ödenek,Bir kurumun belirli bir iş için ayırdığı para
Kaliteli,İyi ve nitelikli yapılmış ürün
Monokrom,Siyah ve beyazın kombinasyon türü
Avantacı,Her şeyi kolayca ve bedava elde etmek isteyen kişi
Komorlar,Başkenti Moroni olan Afrika ülkesi
Müderris,"Eski zaman profesörü, eski dilde üniversite hocası"
Parakete,Gemilerin hızlarını ölçmek için kullanılan alet
Polifoni,Çok seslilik
Müşahede,Hastanın gözlem altında tutulması
Tekmelik,Futbolcuların taktığı darbe koruyucu
Değnekçi,"Dolmuşların, taksilerin duraklarında düzeni sağlar"
Sorumsuz,Üzerine düşen görevleri umursamayan ve yapmayan
Kaprisli,"Huysuzluk yapan, şımarıkça davranan"
Voleybol,Altışar kişilik iki takımla yapılan salon sporu
Lağvetme,"Bir şeyi feshetme, ortadan kaldırma"
Hattuşaş,Çorum'da yer alan ünlü antik kent
Akademik,Bilimsel özelliğe sahip olan
Habsburg,Avusturya Hanedanlığı'na verilen isim
Vehbi koç,Arçelik firmasını kuran işadamı
Ayaküstü,Oturmadan yapılan kısa süreli muhabbet türü
Tarihsel,Hasretli kelimesinin anagramı
Suikast,John F. Kennedy bu yolla öldürüldü
Hürrem,Osmanlı Devleti'nin en ünlü kadın sultanı
Rehavet,"Kişinin üzerine çöken ağırlık, gevşeme hissi"
Naylon,"Poşet yapımında kullanılan dayanıklı, esnek madde"
Makara,Aramak kelimesinin anagramı
Bağışçı,Bir oluşuma gönüllüce maddi katkıda bulunan kişi
Muzırlık,Zarar veren davranışlarda bulunmak
Kapsama,Mobil iletişimde baz istasyonlarının yayın alanı
Format,Bilgisayara atılınca her şey silinir
Perakende,Malların toplu değil tek tek satılması
Kokina,Yılbaşı çiçeği olarak da bilinir
Arasta,Eski çarşılarda aynı işi yapan esnafın bölümü
Gemide,1998 yapımı Serdar Akar filmi
Turnike,Yolcu geçişini düzene koyan otomat
Viyola,Kemanın bir büyüğü
Çiftlik,"Ali Baba'nınkinde inekler, horozlar vb. vardır"
Kehribar,Tespih yapımında kullanılan bir çeşit taş
Pastiç,Tadı ay çöreğine benzeyen İzmirli atıştırmalık
Eczacı,İlaç yapma ve satma yetkisi olan kişi
Gevşek,Sıkı olmayan
Brando,"1973 yılında Oscar'ı reddeden sanatçı, Marlon __"
Piraye,Canan Tan'ın biyografik romanı
Flavta,"Üflemeli bir çalgı, flüt"
Pastiç,Tadı ay çöreğine benzeyen bir İzmir çöreği
Ibibik,Çavuş kuşu
Makbuz,Alındı belgesi
Uranüs,Güneş'e en yakın yedinci gezegen
Alanya,Gazipaşa Havalimanı bu ilçededir
Medyum,Ruh ötesi iletişim kurduğunu söyleyen kişi
Jakuzi,Vücuda masaj yapan banyo küveti
Akarsu,"Dere, çay ve nehir gibi türleri vardır"
Replik,Suflörün oyunculara hatırlattığı söz veya sözler
Düşman,Hasım
Tebessüm,Gülümseme
Gece kuşu,Okan Bayülgen'in TV'de sunduğu ilk sohbet programı
Amerikan,Salonda bulunan açık mutfak türüne verilen ad
Sitoloji,Hücre bilimi
Estampaj,Metal veya tahta üzerine resim basma yöntemi
Meşrubat,Alkolsüz içeceklerin genel adı
Büyükada,Heybeli'ye komşu kara parçası
Külüstür,"Eski, yıpranmış arabalara denir"
Yazıhane,"Ofis, büro"
Atakoğlu,"Sarı Zeybek'in müziklerini yapan sanatçı, Fahir __"
Binnur,"Avrupa Yakası'nın Şahika'sı, __ Kaya"
Melisa,"Parfüm çiçeği, özellikle akşamüstü kokar"
Doktor,İyi olacak hastanın ayağına gelen kişi
Kahire,Mısır'ın başkenti
Parite,İki ülke parasının birbirine göre değeri
Hercai,Aynı zamanda bir menekşe ismi olan Çelik şarkısı
Stüdyo,Sanat çalışmaları yapılan oda
Leşçil,Ölmüş hayvanlarla beslenen hayvanların genel adı
Pitaya,Ejder meyvesi
Amorti,Piyango biletinin değeri kadar olan ikramiye
Baskül,Ağırlık tartan alet
Sabura,Gemiyi dengede tutan ağırlık
Bonkör,Eli açık insan
Makastar,Dikim atölyesindeki kesim ustası
Peksimet,Pişirildikten sonra kesilerek kurutulan ekmek
Papalina,Ayvalık'ın meşhur balığı
Redevans,Bir markanın devredilmesi karşılığı alınan para
Çarşamba,Türküde sel alan Samsun ilçesi
Hemogram,Tam kan sayımı
Sarımsak,Vampirlerin kaçmasına neden olan bitki
Teknisyen,Bir mesleği lise düzeyinde okuyup yapan kişi
Katamaran,Çift gövdeli deniz taşıtı
Konvektör,Isı yayan bir elektrik sistemi
Salatalık,Kornişon bu bitkinin bir türüdür
Sterilize,Her türlü mikroptan arındırılmış
Okyanusya,Avusturalya ve çevresindeki adaları kapsayan kıta
Kıkırdak,Kulaklarda bulunan hafif yumuşak kemiksi yapı
Yelkovan,Saatte dakikaları gösteren uzun çubuk
Behrengi,"İranlı çocuk kitabı yazarı, Samed __"
Röportaj,Ayşe Arman'ın yaptığı habercilik türü
Vuslat,Sevgiliye kavuşma
Bukalemun,Renk değiştirebilen sürüngen
Morfoloji,Canlıların fiziksel yapısını inceleyen bilim dalı
Briyantin,Saçı şekillendirmek için kullanılan bir madde
Isterse,"Hülya Avşar'ın oynadığı dizi, Kadın __"
Kerevit,Tatlı su ıstakozu
Kayseri,Türkiye'nin ilk uçak fabrikasının açıldığı şehir
Şöbiyet,İçine kaymak koyulan bir baklava türü
Anayasa,Devlet felsefesinin düzenlendiği kurallar bütünü
Kadıköy,Barış Manço müzesinin bulunduğu İstanbul ilçesi
Piyango,Numaralı bir bilet alarak dahil olunan şans oyunu
Süveter,Kolsuz kazak
Fahriye,"Yaprak Dökümü dizisinin Necla'sı, __ Evcen"
Monolog,Tiyatroda kişinin kendi kendine yaptığı konuşma
Şarküteri,"Salam, sucuk, peynir satılan reyon"
Liyakat,"Yeterlilik, bir görev için yetkin olma"
Mezbaha,Besi hayvanlarının kesiminin yapıldığı yer
Fanatik,Günlük yayınlanan bir spor gazetesi
Gerçek,Yalan olmayan; sahici
Asfalt,Katrandan yapılan yol yapım malzemesi
Zanaat,"Deneyim, beceri, ustalık gerektiren el işi"
Çisenti,"Çok ince, toz gibi yağan yağmur"
Üçüncü,İkinciden sonra gelen
Nispet,Birini kıskandırmak için yapılan eylem
Bolero,Kısa kadın ceketi
Kuzgun,Kargagillerin en iri ve en karası
Brütüs,"""Sen de mi __?"", Sezar'ın ünlü sözü"
Çaylak,NBA ligine yeni gelmiş basketbolcu
Izgara,Yiyecekleri ateş üstünde pişirmeye yaratan alet
Kafile,Bir arada yolculuk eden insan grubu
Aybaşı,Maaşlar için iple çekilen gün
Medeni,Uygar
Abajur,Siperlikli baş ucu veya masa lambası
Güldürü,"Komik sahne eseri, fars"
Bellek,"Yaşanılan her şeyi zihinde saklama gücü, dağarcık"
Kiremit,Binaların çatılarını örtmek için kullanılan levha
Forrest,"Filminde Tom Hanks'in oynadığı roman, __ Gump"
Sinyal,Işıklı bildirim işareti
Palmiye,Sıcak iklimlerde yetişen bir ağaç türü
Rantiye,"Çalışmadan, malı ve mülkünün geliriyle yaşayan"
Solucan,Toprakta yaşayan uzun kurtlara verilen genel ad
Denizli,Simgesi horoz olan Ege şehri
Preveze,Akdeniz'de üstünlüğü Osmanlı'ya geçiren savaş
Tepegöz,Aydınger kağıttakileri duvara yansıtan araç
Tebrik,Birinin bir başarısını kutlama
Battal,Tekstil ürünlerinde çok büyük ebat veya beden
Hörgüç,Devenin sırtındaki içi yağ dolu tümsek
Şerbet,Bazı tatlıların üzerine dökülen şekerli eriyik
Levent,Osmanlı donanmasında görevli askeri sınıf
Aheste,"Barış Manço şarkısı, Aman Yavaş __"
Gazino,Assolistlerin sahne aldığı yemekli gösteri mekanı
Luanda,Angola'nın başkenti
Mevsim,"İlkbahar, yaz, sonbahar, kış"
Kelime,"Ali İhsan Varol'un sunduğu yarışma, __ Oyunu"
