answer,kategori,question
Efil efil,,Kesintili esen rüzgar için kullanılan ikileme
Inorganik,,Canlıların üretemeyip dışarıdan aldığı madde
Nasreddin,,Göle maya çalan hoca
Enstrüman,,Müzik aleti
Kolombiya,,Yüzyıllık Yalnızlık kitabının geçtiği ülke
Yahşi batı,,Cem Yılmaz'ın kovboy filmi
Çitlembik,,Menengiç meyvesini veren ağaç
Yumuktepe,,Mersin'in merkezinde yer alan ünlü höyük
Satranç,,"Şah, vezir, kale gibi taşların olduğu oyun"
Nakarat,,Şarkıda yinelenen bölüm
Banliyö,,Şehir merkezine uzak olan yerleşim bölgesi
Lağımcı,,Osmanlı Devleti'nde tünel kazan askere verilen ad
Anomali,,Tıpta normal dışı gelişime verilen ad
Bandıra,,Bir geminin ait olduğu devleti gösteren bayrak
Pilotaj,,Hava taşıtını yönetme işi
Isırgan,,"Çayı ve yemeği yapılan, tüyleri eli yakan bir ot"
Ekonomi,,İktisat
Umarsız,,"Çare bulamayan, biçare"
Ramazan,,Hicri takvimde Şaban ayından sonraki ay
Erzurum,,Dadaşlar Diyarı olarak bilinen Anadolu şehri
Krampon,,Profesyonel futbol ayakkabısı
Uzungöl,,Trabzon'un Çaykara ilçesindeki tabiat parkı
Editör,,"Yazılı ve görsel materyali düzenler, tashih yapar"
Önerge,,Oylanarak karar verilmesi için sunulan görüş
Kostüm,,Sinema ve sahne sanatlarında giyilen kıyafet
Musluk,,İstendiğinde su akıtan açılır kapanır alet
Yengeç,,"Suda yaşayan, kıskaçlı ve kabuklu bir hayvan"
Abanoz,,Ağır ve siyah renkli tahtası olan ağaç
Istifa,,Bir kişinin kendi isteğiyle işten ayrılması
Inegöl,,Köftesiyle meşhur Bursa ilçesi
Dükkan,,Çarşıda perakende mal satan yer
Stoper,,"Futbolda, savunmada topu kesen oyuncu"
Sancak,,Deniz taşıtlarının sağ tarafı
Osmaniye,,Yer fıstığı ile ünlü şehrimiz
Büyükbaş,,"Manda, dana, sığır gibi hayvanların genel adı"
Teşebbüs,,"Yapılan denemelerin her biri, girişim"
Nizamiye,,Askeri karargahların girişi
Versiyon,,Bir yazılım için geliştirilen sürümlerin her biri
Deli dolu,,"Sonunu düşünmeden hareket eden, anı yaşayan"
Konçerto,,Bir enstrümanın vurgulandığı klasik müzik eseri
Silindir,,İki daire ve bir dörtgenden oluşan simetrik şekil
Kasvetli,,"Sıkıntı veren, iç karartan hava veya ortam"
Tunçeri,,"Milli basketbolcumuz, Kerem __"
Iskelet,,Vücudun kemiklerden oluşan ana yapısı
Kesinti,,Brüt ücreti netleştirirken yapılan azaltma
Ehliyet,,Sürücü belgesi
Gülsarı,,Bir Cengiz Aytmatov romanında öyküsü anlatılan at
Sponsor,,Bir organizasyonu finanse eden kişi veya kurum
Bağışçı,,"Hibede bulunan, donör"
Stan lee,,Birçok Marvel karakterine hayat veren ABD'li yazar
Istiridye,,Kütükte yetişen bir mantar türü
Endemik,,Sadece belli bir yörede bulunan canlı
Etimoloji,,Bir dildeki kelimelerin kökenini araştıran bilim
Ülkü tamer,,Harry Potter'ı Türkçeye ilk kazandıran çevirmen
Sultanlar,,Türkiye'de kadınlar voleybolunda en üst lig
Uydu alıcı,,Çanak anten sinyallerini televizyona aktarır
Kilometre,,Uzun mesafe ölçü birimi
Ehvenişer,,Kötünün iyisi anlamında eski bir söz
Şah çekmek,,Satrançta en önemli taşı tehdit etmek
Ishak paşa,,Ağrı Doğubayazıt'ta bulunan ünlü tarihi saray
Erikli,,Edirne'nin Keşan ilçesindeki plaj; Bir su markası
Satıcı,,"Mal verip, karşılığında para alan kişi"
Arda kural,,Lise Defteri’nde Ediz’i canlandıran oyuncu
Taşpamuğu,,Asbest maddesinin halk arasındaki adı
Gamsızlık,,"Umursamazlık, tasasızlık"
Depolamak,,İleride kullanmak amacıyla bir yere stok yapmak
Çokbilmiş,,Yaşına göre aklı her şeye fazlasıyla eren çocuk
Rus ruleti,,Tabancayla oynanan tehlikeli şans oyunu
Fırlama,,"Yaramaz, hareketli ve çevresine zarar veren çocuk"
Gerilim,,Tansiyonu yükselten film türü
Su sebili,,Damacana haznesi bulunan elektrikli çeşme
Telaffuz,,Sözcüklerin söyleniş biçimi
Kıskaç,,Yengeçlerin el yerine kullandığı organ
Aspirin,,"Yaygın kullanılan ağrı kesici, ateş düşürücü hap"
Sprint,,Atletizmde 400m ve altı koşuların genel adı
Ortaca,,Dalyan Kanalı'nın yer aldığı Muğla ilçesi
Pantolon,,Vücudun alt kısmını örten paçalı giyecek
Safderun,,"Kurnaz olmayan, kolayca kandırılan kişi"
Takvim,,Günleri saymakta kullanılan gereç
Güderi,,Geyik veya keçi derisinden yapılma yumuşak meşin
Muhtaç,,İhtiyaç sahibi
Harami,,Yol kesen haydut
Kekeme,,"Akıcı konuşamayan, konuşma sorunu yaşayan kişi"
Şerait,,"""Ahval ve __"", içinde olunan haller ve koşullar"
Tarife,,Bir hizmetin fiyat çizelgesi
Volkan,,Avrupa Yakası'nda Ata Demirer'in karakteri
Mümtaz,,"Üstün nitelikleriyle göze çarpan, seçkin"
Açıkgöz,,Çıkarları için uyanık davranan kişi
Yongar,,Üç telli bağlama
Yüzbaşı,,Emir komuta zincirinde üsteğmenin bir üstüdür
Arıtmak,,Suyun içerisindeki pislikleri temizlemek
Safahat,,Mehmet Akif Ersoy'un 7 şiir kitabından oluşan eser
Kamelya,,Japon Gülü olarak da bilinen sert yapraklı ağaççık
Travers,,Tren raylarını birleştiren parçalardan her biri
Ev halkı,,Aynı hanede oturanların hepsi
Benekli,,"Puantiyeli, üzeri lekeli gibi görünen"
Ali atay,,Leyla ile Mecnun dizisinin Mecnun'u
Tamirat,,"Onarma işi, onarım"
Akciğer,,Solunum yapmamızı sağlayan organ
Uruguay,,Futbolda ilk dünya kupasını kazanan ülke
Katkı payı,,Üniversite harçlarına ilaveten devlete ödenen para
Kek kalıbı,,Tatlı çöreği şekillendirirken kullanılan model
Dericilik,,Tabakhane denince akla gelen meslek
Issız adam,,Başrolde Melis Birkan'ın olduğu Çağan Irmak filmi
Otodidakt,,Okula gitmeden kendini yetiştirebilen kişi
Emılezola,,Germinal kitabının Fransız yazarı
Bujumbura,,Burundi'ye 2019'a kadar başkentlik yapan şehir
Sempozyum,,Bir konuyla ilgili bilgilendirme amaçlı toplantı
Skandiyum,,"Simgesi Sc, atom numarası 21 olan element"
Defnetmek,,Ölen kişiyi gömmek
Oyun parkı,,Kaydırak ve salıncak burada bulunur
Mevsimlik,,Dönemsel ve genelde yazın çalışan işçi
Refakatçi,,Hastanede yatan hastanın yanında kalan kişi
Edilgen,,"__ fiil, öznesi belirsiz cümlelerde kullanılır"
Giyotin,,Basım yapan yerlerde kağıt kesmeye yarayan makine
Fabrika,,Bacasıyla meşhur üretim tesisi
Kreatör,,Tasarımcı
Alakart,,Açık büfe ya da fiks olmayan menü tipi
Netflıx,,Abonelikle çalışan ABD'li dijital yayın platformu
Olimpos,,12 büyük Yunan tanrısının evi olan mitolojik dağ
Turuncu,,Sarı ve kırmızının karışımı olan renk
Kukumav,,"__ Kuşu, üzgün oturanlara yakıştırması yapılır"
Amonyak,,Banyo ve mutfak temizliğinde kullanılan beyaz sıvı
Estonya,,Bu Baltık ülkesinin başkenti Tallinn'dir
Tahkikat,,"Bir konuya netlik kazandırma süreci, soruşturma"
Buğulama,,Su buharıyla pişmiş yemek
Sardinya,,İtalya'nın Sicilya'dan sonraki en büyük adası
Juventus,,Kupa rekortmeni İtalyan futbol takımı
Gerçekçi,,Esas hayata çok benzeyen eser için kullanılır
Direktör,,Üst düzey yönetici
Kıkırdak,,"Kemikten daha yumuşak, esnek, beyazımsı bağ dokusu"
Masaüstü,,Portatif olmayan bilgisayar; bilgisayar ana ekranı
Bıcı bıcı,,Çocuk dilinde yıkanma anlamına gelen ikileme
Kayıtsız,,"__ şartsız, hiçbir koşula bağlı olmaksızın"
Pi sayısı,,Öğrencileri bu değeri 3 almaya pek heveslidir
Kasımiye,,Mardin'de bulunan yediyüz yıllık medrese
Forklift,,Çatal biçiminde kaldıraçlı sanayi makinesi
Bağlantı,,İnternetteki web sitesine yönlendiren adres; link
Sürüngen,,"Yılan, timsah ve kertenkele bu sınıftadır"
Yirmi beş,,Türkiye'de milletvekili seçilme yaşı
Paylamak,,"Kırıcı konuşmak, azarlamak"
Kaymaklı,,"__ ekmek kadayıfı, Afyon tatlısı"
Dahiliye,,İç hastalıklarla ilgilenen tıp dalı
Senarist,,Sinema filminin metnini yazan kimse
Benzemez,,"__ Kimse Sana, klasikleşmiş bir TSM şarkısı"
Jamaika,,Rekortmen atlet Usain Bolt'un memleketi
Nebahat,,"Aşk-ı Memnu'nun Firdevs Hanım'ı, __ Çehre"
Girişim,,Yeni bir iş başlatma
Teessüf,,"Bir durum karşısında hayıflanma, yerinme"
Velayet,,Çocuğu kollama ve sorumluluğunu yüklenme işi
Levazım,,Orduda gerekli malzemeleri sağlayan bölüm
Boş koşu,,Futbolcunun topsuz alana doğru attığı depar
Başyazı,,Gazetelerin ilk sayfasına konulan en önemli makale
Medrese,,Osmanlı'da farklı derslerin okutulduğu okul
Nuriye,,Şerbetli bir tatlı çeşidi; Sütlü_
Nefret,,Bir kimseye ya da bir şeye duyulan olumsuz duygu
Hademe,,Okullardaki temizlik görevlisi
Dirsek,,Kollar ve bacakların ortasındaki bağlantı noktası
Körfez,,Karanın denizle iç içe geçtiği yer; Kocaeli ilçesi
Çelenk,,Düğün ve cenaze gibi törenlere gönderilen çiçek
Pontus,,Karadeniz çevresinde hüküm sürmüş Rum devleti
Ozalit,,Mimarların plan çiziminde kullandıkları kağıt
Muadil,,"Eczacı, elinde olmayan ilaç yerine bunu verir"
Teyzem,,Müjde Ar'ın Üftade'yi oynadığı 1986 yapımı film
Sevinç,,İçinde bulunulan durumdan hoşnut olma duygusu
Hantal,,"Yavaş hareket eden, ani hareketler yapamayan"
Fırfır,,Elbise ve etek ucuna farklı şekilde konulan kumaş
Absürt,,Mantık kurallarına aykırı olan
Endeks,,Borsada işlem yapanların sürekli izlediği rakam
Kapıyı,,"2005 yapımı Ferhan Şensoy filmi, Şans __ Kırınca"
Şablon,,Basmakalıp örnek
Destek,,Duygusal anlamda birinin arkasında durma
Fukara,,Mecazen zavallı; fakir
Bakıcı,,Küçük çocuk ya da yaşlı gözetmeni
Vitray,,Renkli camlarla yapılan süsleme işlemi
Beraat,,"Açılan bir davada suçsuz bulunma, aklanma"
Yanlış,,Doğru veya gerçek olmayan; asılsız
Gıybet,,Serdar Ortaç'a göre bizi çekemeyenlerin yaptığı
Inşaat,,Türkiye’nin lokomotif sektörü
Kazanç,,Bir iş sonunda elde edilen maddi fayda
Matrıx,,Keanu Reeves’in rol aldığı fantastik film üçlemesi
Tişört,,T şeklindeki kısa kollu gömlek
Analiz,,Bileşenlerine ayırıp inceleme
Kovboy,,Vahşi Batı usulü çoban
Ipsala,,Pirinci ile tanınan Edirne ilçesi
Biyometri,,Teknoloji yardımıyla yapılan vücut ölçümü
Akarca,,"Halk ağzında, kemiklerde meydana gelen verem"
Birdirbir,,Oyuncuların birbirinin üstünden atladığı oyun
Melankoli,,Çok fazla romantik şarkı dinleyince çöken his
Dosyalama,,Evrakları bir klasörde toplama
Etli ekmek,,Konya'ya özgü kıymalı pide
Öğle arası,,Çalışanların yemek yiyip dinlendiği zaman dilimi
Pedikürcü,,Kuaförlerde ayak bakımı yapan görevli
Krizantem,,"Kasımpatı adıyla bilinen, iri çiçekli süs bitkisi"
Yeni nesil,,Zamane gençleri için kullanılan bir tabir
Iş merkezi,,Plazanın geleneksel adı
Inek şaban,,Kemal Sunal bu rolle meşhur oldu
Komisyon,,Aracı ödeneği
Şile bezi,,Adını İstanbul'un bir sahil ilçesinden alan kumaş
Kozmonot,,"Uzay adamı, astronot"
Sevinçli,,Mutlu
Konsolos,,Bulunduğu ülkede kendi yurttaşını gözeten diplomat
Keşmekeş,,Sıkışık trafiği tanımlamak için kullanılır
Yeşilköy,,İstanbul'un ilk hava limanı bu semte kuruldu
Delidana,,Büyükbaş hayvanlarda görülen bulaşıcı bir hastalık
Lady gaga,,Poker Face ve Bad Romance ile ünlenen şarkıcı
Geceler,,Nilüfer'in 1987 tarihli albümünün ismi
Bornova,,Ege Üniversitesi'nin kurulduğu ilçe
Göründü,,"Takke düştü, kel __"
Vartolu,,Erkan Kolçak Köstendil'in Çukur'daki karakteri
Oturmak,,Sandalye veya koltuğun üzerine yerleşmek
Asosyal,,Toplum içine karışmayan kişi
Garanti,,Doğuş Holding tarafından 2017'de satılan banka
Takibat,,Sanık hakkında yapılan araştırma ve soruşturma
Hakaret,,"Aşağılayıcı, onur kırıcı söz"
Mefruşat,,Ev döşemek için gereken eşyalar
Koklaşma,,"Atasözüne göre, hayvanların iletişim kurma yöntemi"
Imzagünü,,Yazar ve okuyucuyu bir araya getiren etkinlik
Güle güle,,Gidene söylenen ikileme
Halinden,,"Tok, açın __ anlamaz"
Muhittin,,GORA'da Arif'in uzaydan aradığı arkadaşı
Dağıstan,,Başkenti Mahaçkale olan Kafkasya özerk cumhuriyeti
Bilsem ki,,Serdar Ortaç'ın 2000 çıkışlı hit olmuş şarkısı
Ön libero,,Futbolda defansif orta saha oyuncusu
Çökertme,,Bodrum'a özgü bir tür kebap; türküsü de vardır
Sahtekar,,"Yalan söyleyen, hile yapan kişi anlamında söz"
Mutasyon,,"Değişim, başkalaşma"
Nikaragua,,Orta Amerika'nın yüzölçümü en büyük ülkesi
Akıl almak,,"Görüşüne başvurmak, danışmak"
Caydırmak,,"Birini, fikrinden ya da kararından vazgeçirmek"
Yaman okay,,Sürü filminde Abuzer karakterini canlandıran aktör
Fark etmez,,"""Benim için hepsi aynı"" anlamında kullanılır"
Gidiyorum,,"Sezen Aksu'nun 1989 çıkışlı, popüler şarkısı"
Altın küre,,Hollywood Yabancı Basın Birliği'nin verdiği ödül
Tam tarife,,İskontosuz fiyat çizelgesi
Buluşuruz,,Rüyalarda __ şarkısını ilk Zeki Müren seslendirdi
Kontrolör,,Denetleme işi yapar
Ajitasyon,,Duygu sömürüsü yapma
Bahtı kara,,"Talihsiz, kötü kaderli anlamında bir deyim"
Stokçuluk,,Bir malı alıp depolama ve fiyatı artınca satma işi
Evropiyum,,Simgesi Eu olan kimyasal bir element
Truvakar,,Kıyafet kolunun dirsekte bitmesine verilen ad
Gençoğlu,,Müzik sanatçısı Sıla'nın soyadı
Slovakya,,Başkenti Bratislava olan Avrupa ülkesi
Fütürizm,,"Geçmişi boşverip, geleceğe odaklanan sanat akımı"
Önemseme,,"Ciddiye alma, değer verme"
Pejmürde,,Kıyafetleri yırtık pırtık olan kişi
Finansal,,"Mali, parayla ilgili"
Alfabetik,,Harf sırasına göre
Arka plan,,Bilgisayarın ana ekranında sabit duran görüntü
Otlatmak,,Hayvan sürüsünü meraya götürüp beslemek
Hal hatır,,Selam verdikten sonra sorulur
Basbayağı,,"Bilindiği üzere, alışıldığı gibi anlamındaki söz"
Gündökümü,,Tomris Uyar'ın anılarını topladığı kitap
Antiviral,,Virüslerin zararlı etkilerinden koruyan
Usandırma,,"Bıktırma, bezdirme"
Hakikaten,,"Sahiden, gerçekten"
Heptatlon,,7 branştan oluşan kadın atletizm yarışması
Aras bulut,,"__ İynemli, esasen uçak mühendisi olan oyuncu"
Spartaküs,,Bir gladyatörü konu alan Stanley Kubrick filmi
Duvar topu,,Bir oda içinde oynanan raket sporu
Vazgeçtim,,Sezen Aksu'nun 1991'de yaptığı çok sevilen şarkı
Nitelikli,,İşgücünün böylesi değerlidir
Dinlenmek,,Yorucu bir iş arasında durup enerji toplamak
Algoritma,,Problem çözümünde izlenecek sıralı adımlar
Sörf yapma,,İnternette dolaşmayı betimleyen popüler bir deyim
Aruz vezni,,Divan edebiyatının hayli karmaşık nazım ölçüsü
Kovdurmak,,"Birini, işinden ya da bir yerden attırmak"
Kum havuzu,,Çocuklar burada kova ve kürekle oyun oynar
Baş belası,,Ben Stiller'ın Jim Carrey'li komedisi
El arabası,,İnşaatta çimento taşınan tek tekerlekli araç
Alınmak,,"Yapılan bir harekete kırılmak, içerlemek"
Gezenti,,"Dışarıda dolaşmayı, seyahat etmeyi seven kişi"
Doğrusu,,"Filhakika, işin aslı"
Shakıra,,2010 Dünya Kupası'nın şarkısını seslendirmiştir
Portföy,,Yatırım için elde tutulan menkul değerler toplamı
Aşırtma,,Teniste topu havadan rakibin arkasına atma
Belçika,,Emirdağ'ın Türkiye'nin başkenti sanıldığı ülke
Patolog,,Hücre ve doku üzerinde inceleme yapan tıp uzmanı
Karamel,,Şekerin eritilmesiyle yapılan kahverengi şekerleme
Antidot,,"Zehrin etkisini yok eden madde, panzehir"
Işleyen,,__ demir pas tutmaz
Boşanma,,Evliliğin son bulması
Aksamak,,Hafif bir şekilde topallamak
Damper,,Hafriyat kamyonunun inip kalkan kasası
Anlatı,,"Bir dizi olayı hikaye formuna dönüştürme, öyküleme"
Elibol,,"Bonkör, cömert, parasını başkalarıyla paylaşan"
Postür,,İskelet sisteminin diziliş ve duruşuna verilen ad
Yegane,,Tek
Makber,,Heryer karanlık dizesiyle başlayan bir TSM şarkısı
Isıtma,,Sıcaklığı artırma
Trajik,,Çok acıklı olay
Markaj,,Sporda bir oyuncuyu tutma
Akıllı,,Zekasını doğru şekilde kullanan; uslu
Boşnak,,Bosna halkından olan kişi
Fibrom,,İyi huylu tümör
Piyasa,,Arz ve talebin karşılaştığı pazar
Ipekçi,,"Cemil __, ünlü bir moda tasarımcısı"
Müspet,,"Bir şeyin olumlu, pozitif olması"
Gripin,,Adını bir ağrı kesiciden alan Türk rock grubu
Balyoz,,Genelde duvar kırmak için kullanılan büyük çekiç
Hiçlik,,"Olmama hali, yokluk"
Kıtlama,,Kesme şekeri çayın yanında ısırarak tüketme
Degaje,,Kıyafet yakasının gevşek bırakılmasına verilen ad
Kınalı,,"Hülya Koçyiğit filmi, __ Yapıncak"
Abartma,,"__ sanatı, mübalağa"
Ceminay,,"Power Fm'de sunuculuk yapmış radyocu, Cem __"
Çamlıca,,Hababam Sınıfı’nın çekildiği lise
Ne alaka,,"""Bunu da nereden çıkardın?"" anlamında sorulur"
Gönüllü,,Bir işi karşılıksız yapan
Kaçırma,,Fidye için yapılır
Küresel,,"Tüm dünyada olan, global"
Karbon,,"Yandığında kömür olan element, simgesi C'dir"
Değerli,,Gerçek Kötüler takımının gülüşüyle ünlü köpeği
Konfeti,,Bir kutlama sırasında patlatılan silindir malzeme
Biyografi,,Kişinin kendi yaşam öyküsünü anlattığı eser
Insaf etme,,"Adaletli davranma, vicdana uyarak hareket etme"
Aratmak,,"Deyime göre, gelenin gidene yaptığı şey"
Sevimli,,"Sempatik, cana yakın olan"
Karaoğlan,,Suat Yalaz'ın ünlü çizgi roman karakteri
Özgü namal,,Hanımın Çiftliği dizisinin kadın başoyuncusu
Mardin,,Tarihi evleriyle bilinen Güneydoğu Anadolu ili
Menenjit,,Beyin zarı iltihabından kaynaklı yaygın hastalık
Kör aşık,,"Gülben Ergen'in 1999 tarihli, ikinci albümü"
Yüzyıllık,,Bir asırlık
Usulsüzce,,Kurallara aykırı bir şekilde
Malul gazi,,Katıldığı savaştan sakat olarak geri dönen kişi
Dilyarası,,Söylenen bir sözden dolayı duyulan kırgınlık
Nevizade,,"Beyoğlu'nda yer alan, restoranları ile ünlü sokak"
Eşek arısı,,"Dilini __ soksun, beddua içeren bir deyim"
Balata,,Taşıtlarda teker üzerindeki fren aleti
Yüklük,,"Yatak, yorgan, yastık dolabı"
Keşkül,,Badem ve fıstıkla yapılan sütlü bir Türk tatlısı
Desise,,"Entrika, kötü oyun"
Ferman,,Osmanlı'da padişah emrinin yazılı hali
Başarı,,"Hedefe ulaşma, muvaffakiyet"
Proton,,Atom çekirdeğinde pozitif yük taşıyan tanecik
Frezya,,"Farklı renkleri olan, hoş kokulu soğanlı bir çiçek"
Aktüel,,"Şu anla ilgili, güncel"
Edvard,,"Çığlık adlı eseriyle tanınan ressam, __ Munch"
Pes etmek,,Rakibe karşı yenilgiyi kabul etmek
Bandaj,,Yaraları saran kumaş parçası
Hafıza,,Bellek
Averaj,,Bir takımın attığı ve yediği gollerin farkı
Açık gri,,Bolca beyaz ve az miktarda siyahtan oluşan renk
Bhutan,,Sigara satışının yasak olduğu Güney Asya ülkesi
Realite,,"Mutlak gerçek, hakikat"
Hümayun,,Osmanlı'da padişahlara ait olan şeylere verilen ad
Ortanca,,"Yaz başı açan, renkli bir süs bitkisi"
Uyarmak,,Bir kişiyi belli bir konuda ikaz etmek
Watson,,Sherlock Holmes'un dostu ve yardımcısı
Kişilik,,Bir kimsenin kendine has özellikleri
